"SRX"	"SRR"
"SRX263869"	"SRR1045608,SRR1045609,SRR1220483,SRR1220479,SRR1220482,SRR1220478,SRR1220477,SRR1220484,SRR1045606,SRR1045607,SRR1220480,SRR1220481"
"SRX263870"	"SRR1045618,SRR1045619,SRR1045621,SRR1220502,SRR1220508,SRR1220506,SRR1220503,SRR1220507,SRR1220505,SRR1220501,SRR1045620,SRR1220504"
"SRX263871"	"SRR1220492,SRR1045611,SRR1220489,SRR1220490,SRR1220485,SRR1220486,SRR1045613,SRR1045612,SRR1045610,SRR1220491,SRR1220488,SRR1220487"
"SRX263872"	"SRR1045580,SRR1220418,SRR1220417,SRR1220420,SRR1220419,SRR1045578,SRR1220414,SRR1045579,SRR1220416,SRR1045581,SRR1220413,SRR1220415"
"SRX263873"	"SRR1220495,SRR1220499,SRR1220498,SRR1220500,SRR1220496,SRR1045614,SRR1220497,SRR1220494,SRR1045617,SRR1220493,SRR1045615,SRR1045616"
"SRX343508"	"SRR980469,SRR980468"
"SRX343509"	"SRR980470"
"SRX343510"	"SRR980471"
"SRX343511"	"SRR980472"
"SRX343512"	"SRR980473,SRR980474"
"SRX343513"	"SRR980475,SRR980476"
"SRX343514"	"SRR980479,SRR980477,SRR980478"
"SRX343515"	"SRR980480,SRR980481"
"SRX343516"	"SRR980485,SRR980486"
"SRX343517"	"SRR980483,SRR980482"
"SRX343518"	"SRR980484"
"SRX343519"	"SRR980463"
"SRX343520"	"SRR980464"
"SRX343521"	"SRR980467"
"SRX343522"	"SRR980449"
"SRX343523"	"SRR980450"
"SRX343524"	"SRR980451"
"SRX343525"	"SRR980452"
"SRX343526"	"SRR980453"
"SRX343527"	"SRR980454"
"SRX343528"	"SRR980455,SRR980456"
"SRX343529"	"SRR980457"
"SRX343530"	"SRR980458"
"SRX343531"	"SRR980459"
"SRX343532"	"SRR980460"
"SRX343533"	"SRR980461"
"SRX343534"	"SRR980462"
"SRX343535"	"SRR980466,SRR980465"
